user,updated_at,created_at,closed_at,issue_title,issue_number
gengjiawen,2020-03-25T15:55:07Z,2020-03-21T08:07:06Z,,Expose _v8_internal_Print_Object symbol for debug addon and Node.js core easily,32402
Himself65,2020-04-01T21:19:53Z,2020-03-21T03:56:35Z,,lib: refactor ServerResponse.prototype.writeHead,32399
spazmodius,2020-03-21T14:49:02Z,2020-03-20T21:30:27Z,,response.writeHead() does not default `statusMessage` if it's undefined,32395
bmeck,2020-04-01T21:19:53Z,2020-03-20T20:23:10Z,,esm: allow configuring default package type,32394
legendecas,2020-04-06T16:08:07Z,2020-03-20T11:54:55Z,,async_hooks: add a method to expose all resources alive,32390
LongTengDao,2020-03-27T08:21:44Z,2020-03-20T10:03:36Z,,Add maxHeadersCount support for http(s)2 server,32388
mmarchini,2020-03-20T08:39:17Z,2020-03-20T08:07:00Z,,Inspector pause at beginning of recently parsed function will crash,32384
mmarchini,2020-04-01T15:11:17Z,2020-03-20T01:41:46Z,,Tracking Issue: enable sanitizers on our CI,32380
jasnell,2020-04-05T23:10:31Z,2020-03-19T22:21:08Z,,quic: part 3... initial quic implementation,32379
jasnell,2020-03-31T19:18:23Z,2020-03-19T22:19:48Z,,quic: part 2... ngtcp2 and nghttp3,32378
jasnell,2020-04-01T21:19:54Z,2020-03-19T22:18:04Z,,quic: part 1... quic-modified openssl,32377
daneroo,2020-03-22T06:21:44Z,2020-03-19T19:17:45Z,,fs.Stat fails on pre-epoch mtime (<1970-01-01T00:00:00Z),32369
lessfish,2020-03-19T23:25:47Z,2020-03-19T12:30:19Z,,rewrite bind function in prototype with console inside causes Maximum call stack size exceeded,32361
targos,2020-03-20T17:39:57Z,2020-03-19T10:20:08Z,,gcc warning in inspector protocol implementation,32357
SASUKE40,2020-03-19T15:03:24Z,2020-03-18T04:06:23Z,,benchmark: http simple connect timeout on macOS,32337
mmarchini,2020-04-08T16:09:11Z,2020-03-18T01:15:55Z,,Discuss: should we require Travis and GitHub Actions to succeed before landing PRs,32335
BridgeAR,2020-04-01T21:19:56Z,2020-03-17T21:38:34Z,,util: mark classes while inspecting them,32332
pray2008,2020-03-17T15:08:03Z,2020-03-17T15:08:03Z,,HTTP2 does not support system Host ,32323
bnoordhuis,2020-04-03T17:57:40Z,2020-03-17T13:09:53Z,,worker: file creation races with process.umask(),32321
puzpuzpuz,2020-04-02T13:16:20Z,2020-03-17T06:30:46Z,,[v12.x backport] async_hooks: add AsyncLocalStorage,32318
ebickle,2020-04-08T18:34:29Z,2020-03-17T04:19:37Z,,src: fix CAs missing from secure contexts,32315
BridgeAR,2020-04-01T21:19:57Z,2020-03-17T01:39:49Z,,process: delay throwing an error using `throwDeprecation`,32312
BridgeAR,2020-04-01T21:19:57Z,2020-03-17T00:32:02Z,,console: adhere to environment variables enforcing colors,32308
mmarchini,2020-03-16T21:08:02Z,2020-03-16T18:24:10Z,,RFC: update Pull Requests with summary of CI failures,32306
akirattii,2020-03-25T17:07:31Z,2020-03-16T10:18:07Z,,"memory leak on server.listen(port, '127.0.0.1') ?",32297
ehmicky,2020-03-17T15:45:59Z,2020-03-15T20:23:15Z,,Piping `process.stdin` to `child.stdin` leaves behind an open handle,32291
legendecas,2020-04-01T21:19:59Z,2020-03-15T13:22:06Z,,trace_events: clear metadata list on trace agent flushing,32283
bmacnaughton,2020-03-15T13:26:00Z,2020-03-15T09:44:14Z,,perf_hooks/trace_events - nested measurements don't work as expected,32281
jimmywarting,2020-03-17T21:41:25Z,2020-03-14T20:48:43Z,,minor request on logging classes,32270
dnlup,2020-04-08T05:43:15Z,2020-03-14T15:26:30Z,,module: self referential modules in repl or `-r`,32261
mscdex,2020-04-01T21:20:00Z,2020-03-14T15:09:13Z,,lib: improve debuglog() performance,32260
gabrielschulhof,2020-03-20T01:07:32Z,2020-03-14T05:14:47Z,,build fails with --enable-asan --ninja on Ubuntu 18.04,32257
simon-p-r,2020-03-15T11:53:53Z,2020-03-13T23:10:50Z,,Buffer.write inconsistent,32256
YoDaMa,2020-04-01T21:20:00Z,2020-03-13T22:29:17Z,,lib: add debug logs to writable stream,32255
lulzmachine,2020-04-01T21:20:01Z,2020-03-12T20:37:36Z,,esm: add gotcha to documentation,32237
rhenwood-arm,2020-03-23T11:56:56Z,2020-03-12T18:55:02Z,,re-enable crypto dh keygen testing on Arm,32233
AdamMajer,2020-03-13T16:36:27Z,2020-03-12T15:54:26Z,,crypto: tls.rootCertificates empty,32229
mscdex,2020-03-17T01:28:07Z,2020-03-12T13:33:54Z,,buffer: ~2x slowdown in master compared to v12.x,32226
ronag,2020-03-13T13:52:46Z,2020-03-12T12:22:38Z,,ClientRequest `.abort()` and `ECONNRESET`,32225
aduh95,2020-04-01T21:20:01Z,2020-03-12T11:27:39Z,,esm: implement import.meta.main,32223
aduh95,2020-04-08T15:39:58Z,2020-03-11T22:57:34Z,,modules: deprecate module.parent,32217
bmeck,2020-04-01T21:20:02Z,2020-03-11T17:40:47Z,,test: update wpt,32208
bnb,2020-03-13T01:36:20Z,2020-03-11T17:36:13Z,,Move to Electron's docs-parser tooling for Node.js documentation,32206
bmeck,2020-04-01T21:20:03Z,2020-03-11T15:44:20Z,,esm: doc & validate source values for formats,32202
bnoordhuis,2020-04-01T21:20:03Z,2020-03-11T10:56:09Z,,lib: cache timestamps in util.log(),32196
watson,2020-04-01T21:20:03Z,2020-03-11T10:46:46Z,,doc: improve setUncaughtExceptionCaptureCallback docs,32194
BethGriggs,2020-04-08T09:51:54Z,2020-03-10T17:55:18Z,,"2020-04-21, Version 14.0.0 (Current)",32181
sbrl,2020-03-10T21:26:22Z,2020-03-10T15:14:49Z,,No stack trace with missing async keyword and dynamic imports,32177
kasvtv,2020-04-01T21:20:04Z,2020-03-10T13:57:27Z,,doc: fix stream.pipeline async generators example and version,32175
Cloudef,2020-03-10T20:04:04Z,2020-03-10T08:07:38Z,,"child_process, expose a raw exit code",32171
dylanaraps,2020-03-12T14:37:38Z,2020-03-10T07:41:54Z,,nodejs can't be built with python3 and ninja,32170
gireeshpunathil,2020-03-10T09:00:34Z,2020-03-10T06:49:50Z,,Investigate flaky sequential/test-cpu-prof-dir-worker,32168
HeroesLament,2020-03-10T02:35:04Z,2020-03-10T02:29:45Z,,Installation Issue,32165
BridgeAR,2020-04-01T21:20:04Z,2020-03-09T21:20:28Z,,tools: add debuglog eslint rule,32161
nschonni,2020-04-01T21:20:04Z,2020-03-08T06:27:43Z,,build: move lint-js CI to separate job,32144
dandv,2020-03-12T17:17:10Z,2020-03-07T13:40:16Z,,Misleading error that module does not provide export,32137
Tchoupinax,2020-04-01T21:20:04Z,2020-03-07T11:30:55Z,,fs: prevent getter from making writev crash,32135
puzpuzpuz,2020-04-06T19:51:52Z,2020-03-06T19:03:03Z,,[v12.x backport] async_hooks: add executionAsyncResource,32131
jkleinsc,2020-04-09T17:49:59Z,2020-03-06T17:56:01Z,,build: add build from tarball,32129
targos,2020-04-01T21:20:05Z,2020-03-06T16:23:05Z,,lib: add TypedArray to the primordials,32127
mmarchini,2020-04-08T17:36:47Z,2020-03-05T19:56:01Z,,Node.js 14 - V8 version roadmap,32108
JLHwung,2020-03-12T17:52:14Z,2020-03-05T16:55:44Z,,package.exports: false is not working with module loader,32107
pool683,2020-03-09T18:35:19Z,2020-03-05T16:10:46Z,,Cluster IPC ERR_IPC_DISCONNECTED EPIPE,32106
dandv,2020-04-01T12:31:01Z,2020-03-05T10:24:48Z,,"""Cannot find module"" when main file not `index.js` with experimental-specifier-resolution=node",32103
goriunov,2020-03-09T11:41:11Z,2020-03-04T21:18:06Z,,SSL_Error_rx_Record_too_long after upgrading from Node 13.8 to 13.9 or 13.10,32097
gabrielschulhof,2020-04-11T05:34:14Z,2020-03-04T18:48:40Z,,[v12.x] Backport large pages asm to v12.x,32092
HarshithaKP,2020-04-01T21:20:06Z,2020-03-04T11:58:00Z,,test: cls variant of test-http-abort-stream-end,32084
ZFail,2020-03-04T08:43:56Z,2020-03-04T08:24:31Z,,Error when creating external buffers: Check failed: length == backing_store->byte_length(),32083
mike-marcacci,2020-03-11T00:51:51Z,2020-03-04T06:25:17Z,,Remove the DEP0018 deprecation,32081
codebytere,2020-03-04T23:34:49Z,2020-03-03T19:16:01Z,,Docs only shows version subset in navigation,32077
gireeshpunathil,2020-04-08T13:01:32Z,2020-03-03T09:47:41Z,,Ability for async functions to retreive their CLS context,32062
MylesBorins,2020-04-01T21:20:07Z,2020-03-02T21:38:14Z,,module: improve error for invalid package targets,32052
dominykas,2020-03-18T20:28:58Z,2020-03-02T16:52:02Z,,Performance regression when enumerating objects (for shallow cloning) v12.15.0 to v12.16.1,32049
mmarchini,2020-03-02T16:42:10Z,2020-03-02T16:19:01Z,,Flaky test-vm-timeout-escape-queuemicrotask,32048
mmarchini,2020-04-09T04:02:54Z,2020-03-02T16:04:07Z,,Improve documentation for Performance Hooks entry types,32047
jwyglendowski-precisionlender,2020-03-16T17:21:57Z,2020-03-02T13:06:18Z,,"Building LTS v12.x on Windows Fails The system cannot find the file specified.""",32044
MylesBorins,2020-03-02T21:40:02Z,2020-03-01T20:19:41Z,,"package.exports require ""./"" in front of path or resolver fails",32034
gengjiawen,2020-03-18T16:09:58Z,2020-02-29T10:21:05Z,,Solid Node.js with official type system support,32022
JasonWoof,2020-03-02T14:28:19Z,2020-02-29T08:09:57Z,,"Feature Request: way to merge streams like pumpify(a, b)",32020
npomfret,2020-03-03T08:43:22Z,2020-02-28T23:39:16Z,,ConsumeHTTP2Data Assertion error,32015
ebickle,2020-02-28T18:03:19Z,2020-02-28T18:03:19Z,,Extra CA certificates missing when certain TLS options specified,32010
alasdairhurst,2020-02-29T11:43:13Z,2020-02-28T16:10:05Z,,"Strange resolving order using ""node ."" to start an app",32008
Flarna,2020-04-08T09:20:08Z,2020-02-28T11:59:15Z,,[v12.x backport] events: allow monitoring error events,32004
rexagod,2020-04-01T21:20:07Z,2020-02-27T22:52:55Z,,readline: rename input field and remove excess params ,31991
tylerlong,2020-03-03T17:42:51Z,2020-02-27T21:47:01Z,,Proxy bug?,31989
ConorDavenport,2020-04-10T17:14:08Z,2020-02-27T14:09:09Z,,lib: porting common.mustCall to assert,31982
alubbe,2020-04-02T12:00:57Z,2020-02-27T06:18:34Z,,Performance of for await of (async iteration),31979
gireeshpunathil,2020-03-04T11:58:33Z,2020-02-27T04:27:33Z,,convert relevant tests to use CLS,31978
jasnell,2020-04-01T21:20:08Z,2020-02-27T00:45:32Z,,meta: add requirement for signed-off-by statements,31976
guybedford,2020-04-01T21:20:08Z,2020-02-26T21:32:32Z,,module: remove experimental modules warning,31974
connor4312,2020-02-26T20:05:44Z,2020-02-26T19:59:52Z,,console.group() emits duplicate CDP messages,31973
martinheidegger,2020-04-03T16:08:04Z,2020-02-26T16:41:09Z,,Support AbortSignals in async API,31971
mbakke,2020-03-01T09:20:52Z,2020-02-26T16:37:25Z,,Many zlib tests are failing on armhf with system zlib,31970
lundibundi,2020-04-07T06:16:12Z,2020-02-26T13:06:26Z,,test: add few stream utils to common,31968
gireeshpunathil,2020-02-26T06:33:46Z,2020-02-26T06:33:46Z,,investigate flaky parallel/test-net-socket-connect-without-cb,31964
ghermeto,2020-03-26T18:48:47Z,2020-02-26T04:28:03Z,,Performance regression when enumerating objects after many deletes/inserts ,31961
tniessen,2020-03-29T14:28:16Z,2020-02-25T20:41:55Z,,CI is unusable,31955
Qard,2020-04-11T23:06:30Z,2020-02-25T14:24:36Z,,async_hooks: prevent async storage methods leaking to outer context,31950
emerzon,2020-04-09T13:58:52Z,2020-02-25T10:11:49Z,,Unable to build Node 12.16.1 with --use-largepages option,31948
seansd,2020-03-01T09:23:52Z,2020-02-25T02:06:19Z,,httpAgent.absoluteMaxSockets ,31942
syg,2020-02-24T23:52:02Z,2020-02-24T23:49:41Z,,Rename FinalizationGroup to FinalizationRegistry,31941
megothub,2020-02-24T16:41:57Z,2020-02-24T16:41:57Z,,http module emit 'end' event after 'error' event being called,31935
Rantoledo,2020-02-25T10:11:04Z,2020-02-24T12:45:14Z,,HTTP2 bandwidth issues,31932
benjamingr,2020-04-01T21:20:10Z,2020-02-23T11:14:36Z,,module: recover on statCache failure,31921
mscdex,2020-04-01T06:36:59Z,2020-02-22T23:24:49Z,,repl: SyntaxError thrown when entering bigint literal inside multi-line input,31919
ronag,2020-03-31T20:14:01Z,2020-02-22T19:29:29Z,,net: aborted socket incorrectly ends gracefully,31916
helloneele,2020-04-02T07:08:54Z,2020-02-22T17:42:54Z,,Memory leak when using Intl.DateTimeFormat.format() and Intl.NumberFormat.format(),31914
noffle,2020-02-25T18:40:34Z,2020-02-22T02:02:53Z,,fs.createWriteSteam doesn't report ENOSPC on a single write,31908
thany,2020-02-22T10:31:36Z,2020-02-21T22:00:59Z,,doc: StringDecoder supported encodings,31907
dnlup,2020-04-01T21:20:11Z,2020-02-21T20:29:04Z,,esm: better error message using commonjs hint,31906
NeoPhi,2020-03-10T22:17:21Z,2020-02-20T20:27:33Z,,http2 client request doesn't always fire end event,31890
Himself65,2020-02-20T10:06:26Z,2020-02-20T07:58:42Z,,Same second parameter type on assert.throws and asserts.doesNotThrow,31882
HarshithaKP,2020-04-01T21:20:11Z,2020-02-20T07:03:30Z,,doc: Add more useful information to Glossary.md,31879
Trott,2020-04-01T21:20:11Z,2020-02-20T03:41:00Z,,doc: update os.tmpdir() to discuss symlink results on macOS,31877
tschaub,2020-04-01T21:20:12Z,2020-02-19T21:30:54Z,,doc: add esm alternative for require.main,31875
nlepage,2020-02-19T17:34:16Z,2020-02-19T14:46:03Z,,Async generator: catched error on last yield is wrongly rethrown,31867
ExE-Boss,2020-02-19T03:36:03Z,2020-02-19T02:17:33Z,,esm: Make `import.meta.resolve(…)` take an options argument,31861
SimenB,2020-02-19T00:56:08Z,2020-02-19T00:34:40Z,,`vm.compileFunction` is missing `importModuleDynamically`,31860
SimenB,2020-02-19T13:28:05Z,2020-02-18T18:00:51Z,,Evaluate node core modules within a `vm.Context`,31852
kamakuba,2020-02-18T15:36:10Z,2020-02-18T15:36:10Z,,"Adding globalAgent.maxSockets generate [RSR, ACK] at the end of communications",31850
devsnek,2020-04-01T21:20:12Z,2020-02-18T10:22:07Z,,src: combine internal file read utils,31844
jameshilliard,2020-02-19T22:49:40Z,2020-02-18T03:04:32Z,,Nodejs build system incorrectly prepending zlib include path to small-icu includes.,31840
ronag,2020-04-02T12:41:52Z,2020-02-16T10:43:13Z,,http: align with stream.Writable,31818
legendecas,2020-04-01T21:20:13Z,2020-02-16T09:27:39Z,,util: inspecting private fields,31817
zaguiini,2020-03-12T17:35:52Z,2020-02-15T18:40:12Z,,Modules preloading suggestion,31815
ronag,2020-02-15T15:38:02Z,2020-02-15T15:35:32Z,,stream: writable/readable during pending/constructing phase,31813
ExE-Boss,2020-02-15T17:41:58Z,2020-02-15T08:54:57Z,,vm: Function declarations should use [[Define]] instead of [[Set]] on the global object,31808
ExE-Boss,2020-02-15T17:21:06Z,2020-02-15T07:38:18Z,,vm: Provide a way to replace the underlying global object of the GlobalProxy,31807
jasnell,2020-04-01T21:20:14Z,2020-02-15T00:20:46Z,,timers: captureRejections for timers,31804
benjamingr,2020-02-22T01:28:56Z,2020-02-14T22:12:39Z,,Clear the internal require `statCache` on an unsuccessful module load?,31803
mscdex,2020-04-01T21:20:14Z,2020-02-14T08:20:43Z,,benchmark: remove deprecated tls.createSecurePair,31785
lundibundi,2020-02-13T20:24:17Z,2020-02-13T20:24:17Z,,workers: worker doesn't write all data to stdout stream with NODE_OPTIONS --require,31777
MarshallOfSound,2020-04-01T21:20:15Z,2020-02-13T18:58:26Z,,src: stop calling deprecated noop method,31774
bnoordhuis,2020-02-25T23:12:22Z,2020-02-13T16:09:54Z,,repl: respect util.inspect.defaultOptions,31769
Tobbe,2020-02-13T14:03:59Z,2020-02-13T04:53:08Z,,readline hangs the process on Win10,31762
YoDaMa,2020-02-25T12:42:36Z,2020-02-13T01:03:29Z,,add debug logs to _stream_writable,31761
aduh95,2020-04-04T09:36:36Z,2020-02-12T23:41:34Z,,Add type option to Worker constructor,31760
mikeal,2020-02-13T01:42:22Z,2020-02-12T23:33:32Z,,HTTP 1.1 fallback for HTTP 2 client,31759
fbiville,2020-03-25T13:09:43Z,2020-02-12T12:11:39Z,,Inconsistent erroring stream completion behavior between Node LTS versions and Node 13.x,31750
addaleax,2020-04-01T21:20:15Z,2020-02-12T00:26:43Z,,src: use symbol to store `AsyncWrap` resource,31745
fenying,2020-02-11T10:07:16Z,2020-02-09T09:14:58Z,,"fs,crypto: AAD decryption of fs stream > 32768 bytes fails",31733
Trott,2020-03-25T21:51:55Z,2020-02-11T05:24:12Z,,investigate flaky test-fs-stat-bigint,31727
lundibundi,2020-02-10T19:15:37Z,2020-02-10T19:15:37Z,,Investigate test-inspector-port-zero,31723
gabrielschulhof,2020-04-01T21:20:16Z,2020-02-10T08:36:37Z,,n-api: track refs using ListNode and ListHead,31714
najibghadri,2020-03-15T08:08:56Z,2020-02-09T15:18:47Z,,HTTP2 Server Upgrade listener undocumented,31709
ORESoftware,2020-02-07T20:13:47Z,2020-02-07T19:36:24Z,,util.inspect should visually format numbers differently than booleans,31681
ConorDavenport,2020-04-01T21:20:17Z,2020-02-07T15:46:51Z,,tools: add check for directives styling,31677
MYDIH,2020-02-07T12:12:53Z,2020-02-07T11:09:35Z,,Chown not conform to glibc's chown,31673
bertlea,2020-02-11T02:27:59Z,2020-02-07T03:34:43Z,,Node v10.19.0-linux-armv6l cannot be run on Debian Jessie,31668
lgpasquale,2020-02-06T15:05:24Z,2020-02-06T15:05:24Z,,net: setKeepAlive options ignored before connect,31663
SimenB,2020-02-07T18:57:29Z,2020-02-06T12:28:41Z,,Improve performance of accessing globals in scripts running in `vm` modules,31658
gireeshpunathil,2020-02-27T21:54:43Z,2020-02-05T05:08:24Z,,How much is my memory?,31641
gabrielschulhof,2020-02-05T00:04:13Z,2020-02-04T23:09:17Z,,Re-implement N-API RefTracker class using util's ListHead/ListNode,31639
jasnell,2020-02-04T19:04:17Z,2020-02-04T19:03:08Z,,test: individual test run on Windows does not report segfaults,31636
jasnell,2020-02-04T01:54:07Z,2020-02-04T00:32:15Z,,Allow test.py runner to support folder hierarchy,31627
srxzr,2020-02-02T22:47:44Z,2020-02-02T22:22:25Z,,TLS 1.3 ESNI,31618
cjihrig,2020-04-01T21:20:17Z,2020-02-02T21:45:39Z,2020-04-09T15:08:46Z,test: add WASI test for file resizing,31617
rexagod,2020-04-01T21:20:17Z,2020-02-01T21:51:12Z,,lib: fix flaky test-stream-pipe-after-end,31609
szmarczak,2020-02-01T17:52:47Z,2020-02-01T17:40:22Z,,Inspector gives an inaccurate result,31604
rexagod,2020-04-01T21:20:18Z,2020-02-01T13:47:02Z,,readline: add error handling for input stream,31603
josherich,2020-02-10T22:47:36Z,2020-02-01T03:14:31Z,,doc: Improve docs search engine indexing,31598
MylesBorins,2020-03-12T17:49:56Z,2020-01-31T20:32:17Z,,Self referential modules not supported in repl or `-r`,31595
bnoordhuis,2020-04-01T21:20:18Z,2020-01-31T09:40:06Z,,src: remove duplicate env field from CryptoJob,31588
devsnek,2020-04-01T21:20:18Z,2020-01-31T03:28:27Z,,module: prevent builtins from resolving from disk,31586
ARitz-Cracker,2020-02-09T15:40:37Z,2020-01-30T20:25:01Z,,readStream.ready event is emitted when (and before) readStream.error is emitted with EISDIR,31583
dothebart,2020-01-30T12:46:31Z,2020-01-30T12:46:31Z,,Macos Derived exceptions seem to be affected by RTTI settings in the gypfile,31578
bnoordhuis,2020-04-01T21:20:19Z,2020-01-29T12:16:57Z,,dns: default to verbatim=true in dns.lookup(),31567
bnoordhuis,2020-01-29T12:14:35Z,2020-01-29T12:14:35Z,,dns: default to verbatim=true in dns.lookup(),31566
yunnysunny,2020-04-01T21:20:19Z,2020-01-29T04:00:32Z,,doc: The default value of highWaterMark is 16KB.,31561
rustyconover,2020-04-01T21:20:19Z,2020-01-28T15:58:04Z,,net: Track state of setKeepAlive and prevent unnecessary system calls,31551
rustyconover,2020-04-01T21:20:20Z,2020-01-27T16:23:18Z,,http: Add noDelay to http.request() options.,31539
legendecas,2020-01-29T05:28:34Z,2020-01-27T12:46:34Z,,Ability to synchronously drain a thread safe function,31531
rustyconover,2020-04-01T21:20:20Z,2020-01-26T19:24:59Z,,http: Change free sockets behavior to LIFO from FIFO.,31526
rustyconover,2020-04-01T21:20:21Z,2020-01-26T17:22:03Z,,tls: Prevent zero length write() syscalls.,31525
aduh95,2020-01-26T09:53:28Z,2020-01-25T17:53:10Z,,Ill-formed exports field lacks clear error message when using ESM and self-resolve,31510
TimWolla,2020-02-02T02:14:48Z,2020-01-23T22:01:51Z,,Segmentation fault in v8::internal::compiler::(anonymous namespace)::MayAlias (10.15.2 from Debian Buster),31484
acdibble,2020-01-23T00:08:33Z,2020-01-22T18:52:16Z,,"Inconsistent behavior with readable stream event ""readable"" in different versions of Node",31464
shannonmoeller,2020-01-30T12:51:00Z,2020-01-22T18:35:26Z,,"Support ""file:///"" URIs in fs and path functions",31463
ljharb,2020-04-01T21:20:22Z,2020-01-22T08:48:34Z,,lib: the REPL should survive deletion of Array.prototype methods,31457
Somebi,2020-01-22T09:06:57Z,2020-01-22T06:32:26Z,,Possible error in async_hooks,31454
SFx2018,2020-01-23T10:08:57Z,2020-01-21T23:21:35Z,,V8 release v8.0,31452
addaleax,2020-04-01T21:20:22Z,2020-01-21T22:38:39Z,,http: decode username and password before encoding,31450
sam-github,2020-02-14T01:00:11Z,2020-01-21T16:50:38Z,,discussion: can http-parser be replaced with llhttp in LTS (10.x and 12.x)?,31441
izonder,2020-01-21T22:12:49Z,2020-01-21T15:48:34Z,,Passing `username` from URL object to http.clientRequest without decoding,31439
Dragiyski,2020-04-01T21:20:23Z,2020-01-20T18:26:07Z,,embedding: allow creating context within inspectable node::Environment,31424
Dragiyski,2020-04-11T11:54:46Z,2020-01-20T14:51:06Z,,"Inspector crash on ""step into"" async function",31419
bnoordhuis,2020-03-22T00:15:02Z,2020-01-18T18:53:51Z,,--harmony_top_level_await doesn't work,31410
novemberborn,2020-01-19T12:59:53Z,2020-01-18T15:14:05Z,,execArgv option to force TTY,31409
frank-dspeed,2020-01-18T11:21:12Z,2020-01-18T11:21:12Z,,we should publish and compare benchmark results some where,31407
ronag,2020-04-11T21:36:14Z,2020-01-17T19:48:31Z,,stream: 'prefinish' timing and 'finish' after 'close',31401
Srinivas-Vemula,2020-01-17T11:12:32Z,2020-01-17T06:23:47Z,,Node 12: http response.close is always triggered,31394
jaydenseric,2020-02-17T18:55:41Z,2020-01-17T01:09:07Z,,Unexpected await and Promise behavior,31392
lmammino,2020-01-26T23:12:28Z,2020-01-16T20:38:59Z,,Make stream internal methods support promises / async await,31387
nalply,2020-01-25T12:53:03Z,2020-01-16T16:26:16Z,,Parallel x.js and x.mjs in package confuses ES module loader when importing extension-less and using --experimental-specifier-resolution=node,31381
aduh95,2020-04-01T21:20:24Z,2020-01-16T11:35:17Z,,doc: add note regarding net.Socket default timeout,31379
natlibfi-arlehiko,2020-01-16T11:04:32Z,2020-01-16T10:37:00Z,,Hardcoded socket timeout,31378
rodolfo3,2020-01-16T09:46:15Z,2020-01-15T19:59:52Z,,"Intl.DateTimeFormat ""short"" returns month with a period for ""pt-pt"" and ""pt-br""",31374
developsessions,2020-01-21T10:39:54Z,2020-01-15T12:06:20Z,,const dummy = new ArrayBuffer(); RangeError at v8.js,31370
cpcallen,2020-01-14T16:37:53Z,2020-01-14T12:26:19Z,,"Add utils.types.isArray, .isFunction and .isPlainObject",31353
SheikhSajid,2020-04-01T21:20:25Z,2020-01-14T06:03:54Z,,fs: add statfs to fs,31351
qntm,2020-01-13T22:15:39Z,2020-01-13T22:15:39Z,,Documentation for creating a `Buffer` which shares a `TypedArray`'s memory is misleading,31348
joeywatts,2020-01-17T18:12:42Z,2020-01-13T18:16:33Z,,Cannot spawn command on Windows when path has special characters,31346
zacard-orc,2020-01-14T12:32:59Z,2020-01-13T03:51:12Z,,win7 32bit spawn error on tryReadStart @net.js,31339
richardlau,2020-01-12T19:43:10Z,2020-01-12T19:36:03Z,,compiler options for building OpenSSL dependency on Windows,31330
Himself65,2020-01-12T18:17:48Z,2020-01-12T18:09:44Z,,[Build] Turn off the old GitHub Acitions when the latest one comes on Pull Request,31329
DullReferenceException,2020-03-20T13:02:32Z,2020-01-11T01:20:41Z,,Request streams from http2 intermittantly not emitting end event,31309
leor-gh,2020-02-14T22:29:01Z,2020-01-10T20:29:33Z,,new tls.TLSSocket issue,31305
sam-github,2020-01-10T16:49:10Z,2020-01-10T16:48:23Z,,Investigate flaky test-cpu-prof-name,31298
StephenLynx,2020-01-25T16:35:23Z,2020-01-09T19:09:24Z,,MEMORY LEAK on https module.,31285
ljharb,2020-03-19T02:02:14Z,2020-01-09T18:53:23Z,,error message regression in node 13 vs 12,31284
sam-github,2020-03-26T16:01:25Z,2020-01-09T17:10:06Z,,Investigate flaky test-http2-stream-destroy-event-order in CI,31281
sam-github,2020-01-09T17:07:00Z,2020-01-09T17:06:11Z,,Investigate flaky test-worker-message-port-message-before-close in CI,31280
sam-github,2020-01-10T17:43:38Z,2020-01-09T16:45:17Z,,security implications of legacy url.parse() should be more clearly documented,31279
nazarhussain,2020-02-20T09:42:16Z,2020-01-09T16:20:16Z,,process.stdout cannot be JSON.stringify()ed because of circular dependency,31277
jc-lab,2020-01-09T07:42:19Z,2020-01-08T09:27:11Z,,Inspector does not initialize when using CreateEnvironment,31258
lundibundi,2020-04-01T21:20:26Z,2020-01-07T20:56:10Z,,errors: add ERR_INVALID_OPT_TYPE and support options in validators.js,31251
devsnek,2020-02-13T10:31:11Z,2020-01-07T19:49:18Z,,"unable to build master, linking fails",31249
aalexgabi,2020-01-10T15:36:27Z,2020-01-07T12:51:15Z,,Clarify behaviour when listening for 'error' event using once(),31244
danger89,2020-01-07T22:54:49Z,2020-01-07T12:35:36Z,,OS API is missing available memory call in NodeJS,31243
justinfagnani,2020-01-07T07:28:11Z,2020-01-07T00:08:16Z,,"Provide built-in implementations of module linker, initializeImportMeta, importModuleDynamically",31234
SparshithNR,2020-01-08T01:28:21Z,2020-01-06T22:56:43Z,,rmdirsync doesn't throw error when symlinked path is passed as argument in windows node 12,31231
mscdex,2020-01-06T21:55:41Z,2020-01-06T21:55:41Z,2020-03-13T12:08:46Z,Flaky test: wasi/test-wasi,31230
bmeck,2020-04-01T21:20:26Z,2020-01-06T21:15:51Z,,WIP: Move ESM loaders to worker thread,31229
sam-github,2020-02-01T20:54:20Z,2020-01-06T17:22:47Z,,flaky test-stream-pipe-after-end,31227
sam-github,2020-01-08T03:40:56Z,2020-01-06T17:09:31Z,,tap2junit/build/python nightly failed with unicode problem,31225
mscdex,2020-01-31T18:43:24Z,2020-01-06T05:48:13Z,,Flaky test: parallel/test-net-listen-after-destroying-stdin,31213
Sebastien-Ahkrin,2020-04-01T21:20:27Z,2020-01-06T02:57:23Z,,lib: add String primordials,31209
Sebastien-Ahkrin,2020-04-01T21:20:27Z,2020-01-06T02:43:14Z,,lib: add Int8Array primordials,31207
Sebastien-Ahkrin,2020-04-01T21:20:27Z,2020-01-06T02:40:26Z,,lib: add Int32Array primordials,31206
Sebastien-Ahkrin,2020-04-01T21:20:27Z,2020-01-06T02:37:12Z,,lib: add Int16Array primordials,31205
Sebastien-Ahkrin,2020-04-01T21:20:28Z,2020-01-06T02:27:56Z,,lib: replace Float64Array global by the primordials,31203
fraxken,2020-01-05T09:24:03Z,2020-01-03T15:06:47Z,,fs.mkdir/mkdirSync recursive hang with invalid windows character,31177
jasnell,2020-01-02T22:42:36Z,2020-01-02T22:41:57Z,,net: deprecated server.connections still used in tests,31168
